  lote_ID,prueba,Equipo,resultado,Linea_produccion,hora_muestreo,Dia
L-2024-0157,Peso promedio,Termobalanza-01,Alerta,Linea A,16:02:20,Miercoles
L-2024-0176,pH,Durometro-01,Conforme,Linea A,08:58:33,Lunes
L-2024-0194,Disolucion 30 min,Disolutor-01,Conforme,Linea A,15:30:07,Miercoles
L-2024-0006,Disolucion 30 min,Durometro-02,Conforme,Linea A,14:22:50,Martes
L-2024-0158,Tiempo de desintegracion,HPLC-02,Conforme,Linea A,15:18:46,Jueves
L-2024-0259,Friabilidad,Durometro-02,Conforme,linea b,06:45:50,Martes
L-2024-0220,Peso promedio,Disolutor-01,Conforme,Linea A,07:10:59,Viernes
L-2024-0042,Espesor,HPLC-02,Alerta,Linea B,12:22:08,Lunes
L-2024-0146,Espesor,Balanza-03,Conforme,Linea B,21:21:42,Miercoles
L-2024-0127,Tiempo de desintegracion,Disolutor-01,Conforme,Linea B,15:41:51,Lunes
L-2024-0062,Peso promedio,,Conforme,Linea B,12:34:20,Miercoles
L-2024-0189,Peso promedio,Balanza-03,Conforme,Linea A,12:01:32,Viernes
L-2024-0216,pH,Balanza-03,Alerta,Linea A,21:50:57,Viernes
L-2024-0084,Espesor,Balanza-03,Conforme,Linea B,21:08:13,Martes
L-2024-0148,Disolucion 30 min,HPLC-02,Conforme,Linea A,15:21:03,Lunes
L-2024-0239,Tiempo de desintegracion,Durometro-01,Conforme,Linea B,06:38:29,Martes
L-2024-0230,Peso promedio,Balanza-04,Conforme,linea a,08:03:17,Martes
L-2024-0139,Humedad,Durometro-01,Conforme,Linea A,16:15:36,Martes
L-2024-0078,Disolucion 30 min,HPLC-01,Conforme,Linea A,21:08:32,Lunes
L-2024-0071,Peso promedio,Balanza-03,Alerta,linea b,19:04:56,Viernes
L-2024-0029,Uniformidad de contenido,Balanza-04,Fuera de Especificacion (OOS),Linea B,09:18:23,Lunes
L-2024-0174,Humedad,phmetro-01,Conforme,Linea A,13:25:43,Jueves
L-2024-0179,Espesor,Disolutor-01,Conforme,Linea A,07:19:12,Viernes
L-2024-0174,Dureza,HPLC-01,Conforme,Linea A,10:10:16,Lunes
L-2024-0164,pH,HPLC-02,Conforme,Linea A,14:30:04,Lunes
L-2024-0087,Tiempo de desintegracion,Durometro-01,Conforme,Linea B,19:09:08,Viernes
L-2024-0205,Tiempo de desintegracion,HPLC-02,Conforme,Linea A,17:42:37,Martes
L-2024-0161,Friabilidad,HPLC-02,Conforme,Linea A,10:43:16,Miercoles
L-2024-0008,Dureza,phmetro-01,Conforme,Linea A,15:39:37,Viernes
